año,estado,mes,modalidad,cred,monto
,,,Vivienda Usada,11,7747178.97
,,febrero,Vivienda Nueva,38,20936674.75
,,,Vivienda Usada,20,14768169.26
,,marzo,Vivienda Nueva,51,34813063.62
,,,Vivienda Usada,56,34673711.12
,,abril,Vivienda Nueva,52,34648897.7
,,,Vivienda Usada,27,16763961.73
,,mayo,Vivienda Nueva,74,46316141.68
,,,Vivienda Usada,50,32694963.48
,,junio,Vivienda Nueva,66,41638409.35
,,,Vivienda Usada,84,58796045.74
,,julio,Vivienda Nueva,63,41959560.51
,,,Vivienda Usada,36,26334786.68
,,agosto,Vivienda Nueva,62,42341823.85
,,,Vivienda Usada,54,38344026.22
,,septiembre,Vivienda Nueva,68,49505456.37
,,,Vivienda Usada,41,27244039.28
,,octubre,Vivienda Nueva,105,68669669.1
,,,Vivienda Usada,81,60039887.39
,,noviembre,Vivienda Nueva,54,32404304.31
,,,Vivienda Usada,35,21225095.07
,,diciembre,Vivienda Nueva,55,32581473.26
,,,Vivienda Usada,46,29771833.85
,Sinaloa,enero,Vivienda Nueva,18,13025022.44
,,,Vivienda Usada,10,9766159.6
,,febrero,Vivienda Nueva,77,53864971.1
,,,Vivienda Usada,23,17305898.94
,,marzo,Vivienda Nueva,85,58547249.48
,,,Vivienda Usada,69,40253133.53
,,abril,Vivienda Nueva,84,65138771.37
,,,Vivienda Usada,33,21733027.14
,,mayo,Vivienda Nueva,67,53270679.68
,,,Vivienda Usada,35,23887366.17
,,junio,Vivienda Nueva,81,69827103.5
,,,Vivienda Usada,54,33538839.77
,,julio,Vivienda Nueva,105,84783261.4
,,,Vivienda Usada,54,35094042.53
,,agosto,Vivienda Nueva,88,73396825.44
,,,Vivienda Usada,35,27101727.19
,,septiembre,Vivienda Nueva,89,63017992.2
,,,Vivienda Usada,47,34469311.64
,,octubre,Vivienda Nueva,95,70842742.93
,,,Vivienda Usada,93,67297852.94
,,noviembre,Vivienda Nueva,75,59873763.87
,,,Vivienda Usada,49,34260448.56
,,diciembre,Vivienda Nueva,98,71544906.59
,,,Vivienda Usada,45,28333836.19
,Sonora,enero,Vivienda Nueva,9,6586691.5
,,,Vivienda Usada,20,17888511.99
,,febrero,Vivienda Nueva,47,30703715.67
,,,Vivienda Usada,28,20315484.36
,,marzo,Vivienda Nueva,53,38202225.73
,,,Vivienda Usada,67,50045894.61
,,abril,Vivienda Nueva,52,40724144.01
,,,Vivienda Usada,44,33007978.13
,,mayo,Vivienda Nueva,49,38428409.39
,,,Vivienda Usada,45,36345576.39
,,junio,Vivienda Nueva,47,40044779.76
,,,Vivienda Usada,67,53057087.42
,,julio,Vivienda Nueva,68,52513053.46
,,,Vivienda Usada,44,38158229.24
,,agosto,Vivienda Nueva,64,49786683.13
,,,Vivienda Usada,47,41643462.51
,,septiembre,Vivienda Nueva,53,38970719.25
,,,Vivienda Usada,30,24627440.81
,,octubre,Vivienda Nueva,60,43389262.25
,,,Vivienda Usada,65,49130867.51
,,noviembre,Vivienda Nueva,56,41253016.33
,,,Vivienda Usada,55,41086712.82
,,diciembre,Vivienda Nueva,47,30549443.4
,,,Vivienda Usada,55,41691640.09
,Tabasco,enero,Vivienda Nueva,5,3373576.26
,,,Vivienda Usada,13,9255212.56
,,febrero,Vivienda Nueva,10,5209814.26
